service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3N SHOW#2,0,0,0,0,0,0,0,20130818,20131221
R4MF,0,0,0,0,0,0,0,20130818,20131221
GNX3,0,0,0,0,0,0,0,20130818,20131221
I7UISA,0,0,0,0,0,0,0,20130818,20131221
BA5SCH,0,0,0,0,0,0,0,20130818,20131221
I2UISA,0,0,0,0,0,0,0,20130818,20131221
GN4SU,0,0,0,0,0,0,0,20130818,20131221
L1SA,0,0,0,0,0,0,0,20130818,20131221
B2MF,0,0,0,0,0,0,0,20130818,20131221
LMASA,0,0,0,0,0,0,0,20130818,20131221
I1LIM,0,0,0,0,0,0,0,20130818,20131221
GNX1 SHOW,0,0,0,0,0,0,0,20130818,20131221
SV1UI,0,0,0,0,0,0,0,20130818,20131221
5W #1 SHOW SCH,0,0,0,0,0,0,0,20130818,20131221
I3UISA,0,0,0,0,0,0,0,20130818,20131221
LM1MF,0,0,0,0,0,0,0,20130818,20131221
GN5SU,0,0,0,0,0,0,0,20130818,20131221
9B / 7E SHOW,0,0,0,0,0,0,0,20130818,20131221
RUB2SCH,0,0,0,0,0,0,0,20130818,20131221
Y4SU,0,0,0,0,0,0,0,20130818,20131221
I1SU,0,0,0,0,0,0,0,20130818,20131221
G7MF,0,0,0,0,0,0,0,20130818,20131221
GN9SCH,0,0,0,0,0,0,0,20130818,20131221
CENTRAL EXP,0,0,0,0,0,0,0,20130818,20131221
10W UHS UMS,0,0,0,0,0,0,0,20130818,20131221
BB3,0,0,0,0,0,0,0,20130818,20131221
3S/5W SHOW#2,0,0,0,0,0,0,0,20130818,20131221
7E SHOW WED,0,0,0,0,0,0,0,20130818,20131221
Y2UISU,0,0,0,0,0,0,0,20130818,20131221
I1-2 UIF,0,0,0,0,0,0,0,20130818,20131221
Y5SA,0,0,0,0,0,0,0,20130818,20131221
I8/4S NOSCH UI,0,0,0,0,0,0,0,20130818,20131221
9A SHOW SCHWED,0,0,0,0,0,0,0,20130818,20131221
SV2UISA,0,0,0,0,0,0,0,20130818,20131221
RUB2MF,0,0,0,0,0,0,0,20130818,20131221
GNX2,0,0,0,0,0,0,0,20130818,20131221
7E SHOW#1 WED,0,0,0,0,0,0,0,20130818,20131221
I4UISU,0,0,0,0,0,0,0,20130818,20131221
G4MF,0,0,0,0,0,0,0,20130818,20131221
GREEN SCHWED BACKUP,0,0,0,0,0,0,0,20130818,20131221
I6UIMF,0,0,0,0,0,0,0,20130818,20131221
AB2SU,0,0,0,0,0,0,0,20130818,20131221
GR3,0,0,0,0,0,0,0,20130818,20131221
5W #2 SHOW SCH,0,0,0,0,0,0,0,20130818,20131221
Y4SA,0,0,0,0,0,0,0,20130818,20131221
7W SHOW SCH,0,0,0,0,0,0,0,20130818,20131221
GN6MF,0,0,0,0,0,0,0,20130818,20131221
GR2UISCH,0,0,0,0,0,0,0,20130818,20131221
7W/5E SHOW WED,0,0,0,0,0,0,0,20130818,20131221
5W SHOW #3,0,0,0,0,0,0,0,20130818,20131221
Y3UIMF,0,0,0,0,0,0,0,20130818,20131221
3N SHOW WED,0,0,0,0,0,0,0,20130818,20131221
1S/5E SHOW,0,0,0,0,0,0,0,20130818,20131221
Y2SU,0,0,0,0,0,0,0,20130818,20131221
SV3,0,0,0,0,0,0,0,20130818,20131221
GNX4MF,0,0,0,0,0,0,0,20130818,20131221
L2SA,0,0,0,0,0,0,0,20130818,20131221
GREY SHOW UI,0,0,0,0,0,0,0,20130818,20131221
5E SHOW WED,0,0,0,0,0,0,0,20130818,20131221
3S / 5W SHOW,0,0,0,0,0,0,0,20130818,20131221
7W/7E/5E SHOW,0,0,0,0,0,0,0,20130818,20131221
GN8 BACKUP,0,0,0,0,0,0,0,20130818,20131221
I6-2 UIMF,0,0,0,0,0,0,0,20130818,20131221
R5MF,0,0,0,0,0,0,0,20130818,20131221
I8,0,0,0,0,0,0,0,20130818,20131221
I2 UIF2,0,0,0,0,0,0,0,20130818,20131221
Y3SU,0,0,0,0,0,0,0,20130818,20131221
T1UISA,0,0,0,0,0,0,0,20130818,20131221
Y1SU,0,0,0,0,0,0,0,20130818,20131221
T4UIMF,0,0,0,0,0,0,0,20130818,20131221
GR2SA,0,0,0,0,0,0,0,20130818,20131221
1S SHOW,0,0,0,0,0,0,0,20130818,20131221
T1SA,0,0,0,0,0,0,0,20130818,20131221
SV2 NONUIMF,0,0,0,0,0,0,0,20130818,20131221
SV4 NOSCHNOUI,0,0,0,0,0,0,0,20130818,20131221
Y2UISA,0,0,0,0,0,0,0,20130818,20131221
GN1SU,0,0,0,0,0,0,0,20130818,20131221
GN5MF,0,0,0,0,0,0,0,20130818,20131221
GN3SU,0,0,0,0,0,0,0,20130818,20131221
B3MF,0,0,0,0,0,0,0,20130818,20131221
I4UI,0,0,0,0,0,0,0,20130818,20131221
9B SCHWED BACKUP,0,0,0,0,0,0,0,20130818,20131221
I8/4S UIMF,0,0,0,0,0,0,0,20130818,20131221
W1 SCH WED,0,0,0,0,0,0,0,20130818,20131221
B3 WED,0,0,0,0,0,0,0,20130818,20131221
I5 UIF1,0,0,0,0,0,0,0,20130818,20131221
I8/4S UIF NO SCH,0,0,0,0,0,0,0,20130818,20131221
I7UIMF,0,0,0,0,0,0,0,20130818,20131221
R1SA,0,0,0,0,0,0,0,20130818,20131221
9A SHOW WED,0,0,0,0,0,0,0,20130818,20131221
3S/5W SHOW WED,0,0,0,0,0,0,0,20130818,20131221
O4,0,0,0,0,0,0,0,20130818,20131221
GN9 SCH WED,0,0,0,0,0,0,0,20130818,20131221
Y1 MF,0,0,0,0,0,0,0,20130818,20131221
BA5MF,0,0,0,0,0,0,0,20130818,20131221
T2UISA,0,0,0,0,0,0,0,20130818,20131221
T1UISU,0,0,0,0,0,0,0,20130818,20131221
SV1SA,0,0,0,0,0,0,0,20130818,20131221
Y3SA,0,0,0,0,0,0,0,20130818,20131221
SV4 SCH UIF,0,0,0,0,0,0,0,20130818,20131221
BA2,0,0,0,0,0,0,0,20130818,20131221
GNX1 WED,0,0,0,0,0,0,0,20130818,20131221
R3MF,0,0,0,0,0,0,0,20130818,20131221
SV2 UIF,0,0,0,0,0,0,0,20130818,20131221
Y5UISA,0,0,0,0,0,0,0,20130818,20131221
P1MF,0,0,0,0,0,0,0,20130818,20131221
T2UIF,0,0,0,0,0,0,0,20130818,20131221
RUB1MF,0,0,0,0,0,0,0,20130818,20131221
I8UISU,0,0,0,0,0,0,0,20130818,20131221
SV1UISU,0,0,0,0,0,0,0,20130818,20131221
Y1UIMF,0,0,0,0,0,0,0,20130818,20131221
GR5 SCH,0,0,0,0,0,0,0,20130818,20131221
3N SHOW#1,0,0,0,0,0,0,0,20130818,20131221
GR2UIMF,0,0,0,0,0,0,0,20130818,20131221
I6UISA,0,0,0,0,0,0,0,20130818,20131221
B1_NOAB,0,0,0,0,0,0,0,20130818,20131221
I5UISA,0,0,0,0,0,0,0,20130818,20131221
GN4SA,0,0,0,0,0,0,0,20130818,20131221
BZ1MF,0,0,0,0,0,0,0,20130818,20131221
SV1UISA,0,0,0,0,0,0,0,20130818,20131221
I2 UIMF,0,0,0,0,0,0,0,20130818,20131221
1N SHOW WED,0,0,0,0,0,0,0,20130818,20131221
T2SU,0,0,0,0,0,0,0,20130818,20131221
AB SAT,0,0,0,0,0,0,0,20130818,20131221
N3SCHMF,0,0,0,0,0,0,0,20130818,20131221
SV4 SCH NOUI,0,0,0,0,0,0,0,20130818,20131221
Y5,0,0,0,0,0,0,0,20130818,20131221
5E UHS SHOW,0,0,0,0,0,0,0,20130818,20131221
T3MF,0,0,0,0,0,0,0,20130818,20131221
I1SA,0,0,0,0,0,0,0,20130818,20131221
BA3SCH,0,0,0,0,0,0,0,20130818,20131221
SV2UISU,0,0,0,0,0,0,0,20130818,20131221
Y4,0,0,0,0,0,0,0,20130818,20131221
I3 UIF1,0,0,0,0,0,0,0,20130818,20131221
GREY MF SHOW,0,0,0,0,0,0,0,20130818,20131221
I5UIMF,0,0,0,0,0,0,0,20130818,20131221
1S SHOW WED1,0,0,0,0,0,0,0,20130818,20131221
RUBY1SA,0,0,0,0,0,0,0,20130818,20131221
GN6UISU,0,0,0,0,0,0,0,20130818,20131221
R2SA,0,0,0,0,0,0,0,20130818,20131221
I8/4S SCHWED,0,0,0,0,0,0,0,20130818,20131221
Y5UISU,0,0,0,0,0,0,0,20130818,20131221
BA3-3 SCH WED,0,0,0,0,0,0,0,20130818,20131221
Y2SA,0,0,0,0,0,0,0,20130818,20131221
GN5SA,0,0,0,0,0,0,0,20130818,20131221
Y6MF,0,0,0,0,0,0,0,20130818,20131221
GN1SA,0,0,0,0,0,0,0,20130818,20131221
BA3MF,0,0,0,0,0,0,0,20130818,20131221
LMBSU,0,0,0,0,0,0,0,20130818,20131221
LMBSA,0,0,0,0,0,0,0,20130818,20131221
